Duration (in seconds),Analytic 1_1,Analytic 1_2,Analytic 1_3,Analytic 1_4,Holistic 1_1,Rationale 1,Analytic 2_1,Analytic 2_2,Analytic 2_3,Analytic 2_4,Holistic 2_1,Rationale 2,Analytic 3_1,Analytic 3_2,Analytic 3_3,Analytic 3_4,Holistic 3_1,Rationale 3,Gender,Age,Education,Education_6_TEXT,TESOL cert,TESOL cert_6_TEXT,ELT experience,IELTS status,IELTS status_8_TEXT,IELTS experience,L1,Student L1,Examining contexts,FL_148_DO,B1texts_DO,B2texts_DO,C1texts_DO
2182,4-,4-,6-,4-,4.7,"Adequate range for the task but there was a lot of repetition. 
However, they did not misspell the items to the extent that it causes strain. 
I can't say the range is minimal for the task, but it doesn't go beyond that of adequate, which constitutes a 6 band. ",4+,4,6,5-,4.8,"There weren't huge issues with the word formations and it didn't cause strain on the reader. There was some repetition though the use of the lexical items were generally appropriate. 
As there were no major errors, it did not stand to receive a 5. However, the word choice were not 'uncommon' to the extent of meriting flexibility and therefore does not constitute a 7. ",5+,5,7-,6-,6,"The student's got a good range of lexis and shows flexibility. 
There are uncommon word choices that fit the style. 
It's higher than adequate, which takes them out of the 6 range, though not wide enough/with enough accuracy to move them into 8. They fit the 7 descriptors more. ",Prefer not to say,30-39,Master's degree,,Cambridge Delta,,11-20,"Former IELTS writing examiner,IELTS Examiner Trainer",,3-5,English ,Arabic,Test takers with a variety of L1s but  a narrow range of proficiency levels,FL_147|FL_146|FL_144,Text4,Text13,Text28
1552,4,4,5,5,4.5,Much of the content is tangential or irrelevant.,5+,6,7,6,6.5,"Repetition of rubric limits score to a 7.  ""Will families"" ?",6+,9,9,8,7.6,Wider range of vocab to deal with rubric: impoverished/poor.  A one-sided argument though.,Male,50-59,Master's degree,,Cambridge Delta,,20+,"Former IELTS writing examiner,Former IELTS speaking examiner",,11-20,English,Arabic/Korean/Turkish,Test takers with a variety of L1s and a range of proficiency levels,FL_146|FL_147|FL_144,Text9,Text14,Text21
2565,5,5,5,4,4.7,"poor use of collocation and noticeable use of memorized phrases, but enough use of language to minimally fit the task at hand- actually would rate -5
to corroborate this claim, not to generalize, comparatively young, safeguard for the future - seem memorized
are prepared - for is missing
a lot of use of  'good' 'thing' - does not use enough less common vocabulary unless it's memorized.",7,7,7,6+,7.1,"used to have
in the table
family love life
in everytime vs. all the time
time to discovered
the sense  of

most was grammar",8+,9,9,8,8.1,"in the weekends - systematical
e.g. once correct then eg twice
issues with possession, but that is more grammatical - parents', worlds,  ",Female,30-39,Master's degree,,Cambridge CELTA,,6-10,Current IELTS speaking examiner,,3-5,English,a variety of Indian languages and Arabic,Test takers with a variety of L1s and a range of proficiency levels,FL_147|FL_146|FL_144,Text8,Text11,Text27
297,6+,6,7,5,6,,7+,7+,7+,7,7.6,,9-,9-,9,9,9.1,,Female,40-49,Bachelor's degree,,Cambridge Delta,,11-20,"Former IELTS writing examiner,Former IELTS speaking examiner",,6-10,English,Arabic before,Test takers with a variety of L1s and a range of proficiency levels,FL_144|FL_146|FL_147,Text7,Text20,Text26
1138,5+,5,6,5+,5.5,"I noticed high level vocabulary (on the CEFR scale), such as: pocket money, suspect (for speculation), subsequently, ""in my case"", tribe, journalist.  These are used fairly accurately.  But the writer lacked more specific vocabulary to get a higher band: ""entrance to the bank"" (for job), ""my age is late"".  ",7+,7+,8,7,8.1,"Very specific and high level usage: ""blinded by the power of money"", obstacle, ""the art of money making"", embrace, ""set their mind"", possess... not all accurate, so this is why it's not a band 9.  ",9-,9-,9,8,9.1,"Very high level vocabulary, mostly accurate: prematurely exposed, brought up, sacrificing luxuries for essential items, accompany, tend to, impoverished, etc.  ",Male,40-49,Master's degree,,Cambridge CELTA,,11-20,"Former IELTS writing examiner,Current IELTS speaking examiner",,3-5,English,Arabic,Test takers with mostly the same L1 but a range of proficiency levels,FL_144|FL_146|FL_147,Text6,Text15,Text22
4405,5+,5+,6+,5+,5.6," - A risk taker. Candidate uses less common lexical items with some awareness of style and collocation e.g. ""desired effect"", ""acquired money"" ""work independently"" ""fairly young""
 - but many errors in  word formation. Lots of errors with collocations ("" by another countries"", "" accept the money by their parents"", etc)   and phrasal verbs. This  impedes communication to some extent as it requires effort from the reader 
e.g. "" they could their money buy something or  entrance to the bank"" 
 - spelling generally good

",7+,7+,8-,7-,7.6,"""uses a wide range of vocabulary fluently and flexibly to
convey precise meanings “blinded by the power of money”
• skilfully uses uncommon lexical items  in every paragraph e.g. “scrutinized” , “paramount” , ""perseverence""
•  spelling generally very good - produces rare errors in and very good word formation on the whole
Generally candidate weaker with grammar . The lexical range is much stronger (8) even though there were some errors with collocations e..g raised in” instead of “raised with”, but this does not adversely affect understanding. The candidate is a “risk – taker”, so should be given some credit.
",8+,8-,9+,8+,9.1,"  - uses a wide range of vocabulary and indeed consistently uses more sophisticated   C2 level vocabulary  
; e.g. ""impoverished "", ""inconceivably"", ""ingenuity"" ""perseverance"", ""subsistence"", pre-eminent"", etc
 - varied use of uncommon phrasal verbs, collocations 
e.g. ""robbed of  their childhood ""  "" prematurely exposed to predicaments of"" 
 - sustained accuracy in spelling


",Male,50-59,Master's degree,,Other,,20+,"Former IELTS writing examiner,Former IELTS speaking examiner",,11-20,English,Arabic,Test takers with a variety of L1s and a range of proficiency levels,FL_146|FL_147|FL_144,Text3,Text19,Text30
1014,4+,5-,5,5,5,"In terms of design I would have the text at the top of each slide cause it's annoying to keep clicking back to see it. I'm tempted to just go on memory rather than examine the specific words...

pocket money 
perfectly prepared
see situtations
wealthy parents (granted it's in the prompt)",7,7-,7,7,7.1,"well-trained to
better prepared to deal with 
on the contrary 
(there are more but i'm starting to get fatigued going back and forth)",9,8+,8+,8+,8.6,prematurely exposed,Male,30-39,Master's degree,,"Cambridge CELTA,Cambridge Delta",,11-20,"Former IELTS writing examiner,Former IELTS speaking examiner",,1-2,English,Multilingual,Test takers with a variety of L1s and a range of proficiency levels,FL_144|FL_146|FL_147,Text2,Text11,Text33
7431,5-,4+,5,4,4.5,"General Features:
* uses a limited range of vocabulary which is minimally adequate

Specific Lexical Items:
Positive points: work as a receptionist, saw firsthand, comparatively young, do errands, pocket money, psychologically prepared
Negative points: I show that situation around me, could buying things like positive school, I start freelance from 20 ages, study at money",7,6,7+,6-,6.6,"General Features
* a wide range of vocabulary, used quite fluently, flexibly and accurately
* a good awareness of style and collocation

Specific Lexical Items
Positive points - the value of hard work, put food on the table, blinded by the power of money, (a) sense of respect for sthg
Negative points - raised in a certain ethical values, endure in the condition, Oppose to it..., the impact to a child",7,6,8,7,7,"General Features 
* a wide range of vocabulary used fluently, flexibly and accurately
* a very good awareness of style and collocation

Specific Examples
* be prematurely exposed to sthg, learn to cope on a low income, act as an incentive, from a very early age, supplement their income, a modest background, be 'robbed' of your childhood, sheer motivation",Female,50-59,Bachelor's degree,,"Cambridge CELTA,Cambridge Delta",,20+,"Former IELTS writing examiner,Former IELTS speaking examiner",,1-2,English,Spanish,Test takers with mostly the same L1 but a range of proficiency levels,FL_147|FL_146|FL_144,Text7,Text16,Text23
1575,5-,5-,5-,5-,5,"limited range and there seemed to be a tendency to try and bend the topic towards personal experience and thus language they felt more comfortable with (3rd para especially). However, the candidate did manage to use language relevant to the impact of money on children and how they are brought up in this regard by their parents.",6,5,6+,5,5.5,"some very good collocations & idiomatic language e.g. the source of happiness, blinded by power, grow up and think that money is everything, spoiled, the art of money making, the sense of respect for.
The lexical resource seemed to be the strongest part of this writing.",8,8,8,8,8.1,"strong use of collocation, modifiers (better prepared for), less frequent lexis (prematurely exposed to). The candidate shows some ability to generate accurate, albeit somewhat novel phrasing e.g. They are making a straight contribution to their families. In general the lexis is quite strong in this piece",Male,30-39,Master's degree,,Cambridge Delta,,11-20,"Former IELTS writing examiner,Current IELTS speaking examiner",,1-2,English,Punjabi,Test takers with mostly the same L1 and a narrow range of proficiency levels,FL_146|FL_147|FL_144,Text31,Text12,Text21
1643,4-,4+,5-,5-,4.5,"Most of the more sophisticated lexis is lifted from the rubric. 
There are some expressions e.g. 'social experience', 'pocket money' that are appropriate (-ish) and not taken from the rubric, but these are outweighed by what the writer doesn't know how to say e.g. 'a work', '20 ages'. 
On the whole the overall idea of what they're saying is clear, but the lexis used is only approximately appropriate. ",7,6+,7,7,6.5,"Some good use of collocation in places, and some inaccurate. 
Some slips in e.g. dependent prepositions. 
Not all attempts to use less common vocabulary are unsuccessful. 
Flexibility and precision are there despite some inaccuracy. 
",9,9-,9,8+,9.6,"Overall sophisticated use of collocation and phrasing. Clear familiarity with a wide range of topic appropriate lexis. 
Occasional inappropriate choice e.g. 'strife' but that might be hyperbole. ",Female,60-69,Master's degree,,Cambridge Delta,,20+,"Former IELTS writing examiner,Former IELTS speaking examiner",,6-10,English,All languages,Test takers with a variety of L1s and a range of proficiency levels,FL_146|FL_147|FL_144,Text31,Text15,Text30
6147,5,4,6,4,5,"Some very good LR.
E,g,: brought up, good parents, excellent schools, behaviour, good parents, good effect on you, wealthy parents, pocket money, perfectly prepared. ",6,6,7,5,6,"Some very good LR but there are some problems with the GRAM. The last paragraph could have been broken into 2, way too big but generally speaking it was OK.",5,7,8,8,7.1,"Candidate only wrote about the less privileged ones. He/she did not mentioned the rich kids, however, very well written. If I am not mistaken, the candidate has to be penalised. There's a ceiling. Can't remember very well as the writing part has been taken away from Brazil... :( I haven't corrected the written part for at least a year or 2 maybe. Unfortunately :( Anyway, very good vocabulary used.",Female,50-59,Master's degree,,"Cambridge CELTA,Cambridge Delta,Other",CEELT 1 and 2,20+,"Former IELTS writing examiner,Current IELTS speaking examiner,IELTS Examiner Trainer",,20+,Portuguese,Portuguese,Test takers with mostly the same L1 but a range of proficiency levels,FL_146|FL_147|FL_144,Text2,Text18,Text29
6672,5-,5-,5-,4+,4.5,"The range of vocab is quite limited but is minimally adequate for the task, e.g. behavior, effect, mature, wages, pocket money. Errors with collocation are noticeable, e.g. positive school, social experience, culture about children, entrance to the bank. This can cause difficulty fr the reader. Spelling of generally accurate.  ",5,6-,7-,6,6,"Quite a wide range of vocabulary is used, often well, and includes less common items, e.g. discipline, certain ethical values, gratification, flaunts, surmise. Sometimes, however, the choice is inappropriate although the meaning is still clear, e.g. juvenile, scrutinized. Occasionally the meaning isn't clear, e.g. hustle. Spelling and word formation are accurate.  ",7,7+,8-,7+,7.6,"A wide range of vocabulary was used accurately, including less common items, e.g. offspring, obstacles, witness (v), numerous, contribute, setbacks, encounter. There was good use of collocation, e.g. low family income, highly motivated, to set high goals, serve as an example, impoverished backgrounds, robbed of their childhood, family role models, sheer motivation, but occasional inappropriate choices, e.g. prematurely exposed, potentially collect, straight contribution.    ",Female,60-69,Master's degree,,"Cambridge CELTA,Cambridge Delta",,20+,"Former IELTS writing examiner,Current IELTS speaking examiner",,11-20,English,Arabic,Test takers with a variety of L1s and a range of proficiency levels,FL_146|FL_144|FL_147,Text5,Text20,Text25
993,5,5,5,4+,5,"The candidate is able to express him/herself, but not able to use verb tenses and has trouble with punctuation. His/her general meaning is generally clear, but the writing is not advanced enough for a 5.5 or 6 band score.",6,5+,6,5,5.6,"The candidate has answered the question and expressed him/herself clearly enough. There are issues with grammar in particular that affect the band score and again, the rubric is copied in the topic sentence.",8,8,8+,8+,8.6,This response is written at nearly native speaker level. I only noticed a couple of awkward phrases and the rubric was copied in the topic sentence.,Male,40-49,Doctorate degree,,Cambridge CELTA,,20+,Former IELTS writing examiner,,1-2,English,Arabic,Test takers with a variety of L1s and a range of proficiency levels,FL_144|FL_147|FL_146,Text31,Text20,Text22
8241,4,5,6,5,5,"For a Band 6 - freelance, firsthand, social experience, comparatively, errands, safeguard

vocabulary used incorrectly: hoard, corroborate, etc
",8,7,8+,6+,7.4,"Sustained used of idiomatic expressions and collocations, wide range of lexical items

examples: readily obtained, equipped to face adulthood, put food on the table, see the reality and embrace it,...",8,8,8+,8,8.6,"Use of a wide lexical range, sustained use of idiomatic expressions and collocations used ",Female,40-49,Master's degree,,Cambridge CELTA,,11-20,"Former IELTS writing examiner,Current IELTS speaking examiner",,11-20,English,Arabic,Test takers with mostly the same L1 and a narrow range of proficiency levels,FL_147|FL_144|FL_146,Text7,Text14,Text29
1516,5+,5,5+,5-,5,"uses an adequate range of vocab, however, too many inaccuracies in word choice & collocations for a 6
attempts to use some less common lexical items
",6+,6,7-,6+,6.5,"not maintaining register; some mixed formal and informal language use (some awareness of style)
occasional errors in word choice: inaccuracies in use of prepositions and linking words and expression
uses some less common items with awareness of collocation 
overall some flexibility and precision of vocab items",7,7-,9,8,8.6,"wide range of lexis
uncommon lexis; excellent use of fixed expression, collocations and nominalizations
precise and flexible
natural use of lexis
good control over all lexical features (spelling, word choice and word formation)",Female,40-49,Master's degree,,"Cambridge CELTA,Cambridge Delta",,11-20,"Former IELTS writing examiner,Former IELTS speaking examiner",,3-5,English,Arabic,Test takers with mostly the same L1 and a narrow range of proficiency levels,FL_146|FL_147|FL_144,Text9,Text13,Text24
128549,5,5-,5,5,5,"Vocabulary is 'minimally adequate' for the task. Simple language is used accurately (behavior, mature, culture). Some chunks are used correctly (life experience, everything they want, pocket money). Some errors of word choice cause difficulty for the reader (entrance to the bank, study at money)",7,6-,6+,7-,6.8,"This example doesn't seem very authentic. The writer uses some C1/C2 level words (surmise, paramount, pampered, scrutinized, gratification) that they are very unlikely to use while still unable to use some basic chunks correctly (food in the table). Many of the higher level words are used incorrectly or inappropriately. There are frequent inaccurate collocations (easily gave, hustle in, set their mind) and inappropriate word choices (love life, flaunts, gratification). Some less common items are used correctly (surmise, pampered, paramount, adulthood, well-trained). Some word choices are quite confusing for the reader but do not really 'impede communication'. I have never come across an example like this. ",8,8+,9,9-,9.6,"The candidate uses a wide range of vocabulary, particularly sustained use of collocation (social environment, necessary skills, very early age, direct contribution, highly motivated, set goals, relevant example, etc). S/he uses dependent prepositions (contribute to, turn to crime, survive on). S/he also uses synonyms and antonyms to avoid repetition (poor/impoverished, children/offspring, robbed/cheated, realities/struggles/setbacks, luxuries/essential items). Sustained use of less common words (ultimate, sheer etc). S/he uses different forms of words with accuracy (motivated/motivation). There are no errors or inappropriacies in word choice.",Female,50-59,Doctorate degree,,"Cambridge CELTA,Cambridge Delta",,20+,"Former IELTS writing examiner,Former IELTS speaking examiner,IELTS Examiner Trainer",,20+,English,Sinhalese,Test takers with a variety of L1s and a range of proficiency levels,FL_147|FL_146|FL_144,Text6,Text19,Text26
1000,6-,4+,5-,4+,5,I didn't notice any features which would take this learner above the five band. A lot of the lexis was not used correctly. ,8-,7,7-,6+,7.1,"A good range of lexis adequate for the task. I felt the language was used accurately and appropriately; however, I felt the range was slightly limited. ",7+,7+,7,7,7,"conceive, accompany, notwithstanding, sacrifice, predicament, premature, hussle",Male,40-49,Master's degree,,"Trinity CertTESOL,Trinity DipTESOL",,20+,"Former IELTS writing examiner,Former IELTS speaking examiner",,1-2,English,Chinese,Test takers with mostly the same L1 but a range of proficiency levels,FL_147|FL_144|FL_146,Text6,Text32,Text29
329500,4,4-,6-,3,3.4,"There was a decent range of vocabulary related to the topic, but it needed to be seen separate to the grammar:
tremendous
independent
prepared
chores
journalist
life experience
pocket money
perfectly prepared",7,6-,6+,6-,5.8,"There is a decent range of more complex lexis, such as:
to be equipped to
put food on the table
the power of money
the art of making money
decide for themselves

but these included some inaccuracies of use at tims.

There is also repetition of certain basic lexis, such as 'brought up' 'work hard' and synonyms could have been used here.  
",7+,8-,8+,7+,8.6,"There was a wide range of use of collocations and phrases and of less common language:
offspring
premature exposure to
sacrificing luxuries for essential items
to serve as
they tend to
an impoverished background
robbed of their childhood
sheer motivation",Female,50-59,Master's degree,,Cambridge Delta,,20+,"Former IELTS writing examiner,Former IELTS speaking examiner",,6-10,English,German/Spanish,Test takers with a variety of L1s but  a narrow range of proficiency levels,FL_147|FL_144|FL_146,Text4,Text12,Text25
2108,5,5,5,5,5,"There is a limited range of vocabulary and several words that have been repeated from the rubric, such as 'children' 'parents' 'buy' 'money'. Although there are not any mistakes in word formation, the limited range keeps it at a 5.",5+,6,7-,6+,6.7,"The TT uses a range of relevant language which shows some flexibility; however, there is a large amount of lexis that is repeated from the rubric. They have demonstrated an awareness of collocation and less common lexical items, such as 'psychological values' 'well-trained to face adulthood' 'worked very hard just to put food in the table' 'their eyes are blinded by the power of money'.",9,8-,9,8-,9.5,The TT used a 'wide range of language with very natural and sophisticated control of lexical features'. Some examples from the text to support this include: 'prematurely exposed to predicaments' 'sacrificing luxuries' 'necessary skills for survival' 'making a direct contribution to their families in terms of labor and subsistence' 'an impoverished background...used his ingenuity and perseverance to set up the worlds pre-eminent technology company'. ,Male,30-39,Master's degree,,"Cambridge CELTA,Cambridge Delta",,11-20,"Former IELTS writing examiner,Current IELTS speaking examiner",,11-20,English,"I've examined students in three different countries and the common language has been Spanish, Tunisian Arabic, French and Bangla.",Test takers with mostly the same L1 but a range of proficiency levels,FL_147|FL_146|FL_144,Text1,Text11,Text30
1329,4-,3,2,3-,2.9,"The writer didn't really answer the question well, and the grammar made it very difficult to follow and understand. The use of ""ing"" inappropriately and ""20 ages"" and over use of ""by"" stand out as examples that made comprehension difficult.",7-,5,5+,5,5.1,"The use of ""bestowed"" makes me think they're trying to use more advanced vocabulary, but it doesn't come off well. They also switch verb tenses.",7,6,6+,6,6.1,"Overall, the writer answered the question but could have used more organization with more supporting details. The comma problem with their attempted use of ""however"" stands out in my memory. I don't recall any particular complex structures or vocabulary used.",Female,40-49,Bachelor's degree,,Other,,11-20,Other,,less than 1,English,Spanish,Test takers with mostly the same L1 but a range of proficiency levels,FL_147|FL_144|FL_146,Text2,Text18,Text28
