rater_id,B1_TR,B1_CC,B1_LR,B1_GRA,B1_HOL,B2_TR,B2_CC,B2_LR,B2_GRA,B2_HOL,C1_TR,C1_CC,C1_LR,C1_GRA,C1_HOL,duration_sec,text_order,B1_text_id,B2_text_id,C1_text_id,B1_comment,B2_comment,C1_comment,gender,age,education,TESOL_cert,ELT_exp_yrs,IELTS_status,current,IELTS_exp_yrs,rater_L1,rater_English,student_L1,L1_range,prof_range
R11,5.3,4.7,5.3,5.0,4.5,6.3,6.3,6.7,6.3,6.1,7.3,7.3,8.3,7.3,7.6,1139733,B1_C1_B2,Text1,Text20,Text28,"'20 ages' for years
inaccurate use of prepositions
repetition of phrases and repetition of simple vocab - 'good' 'money' 'work'
but spelling accurate","Some issues with prepositions and chunks copied from the prompt but a good attempt to use less common vocab, vis put food on the table, respect for perseverance, flaunts","Good lexical resource shown by good range and accurate collocations:
impetus, shun luxuries, requisite skills, augment family income, peddle merchandise, impoverished backgrounds, first-hand experience",Female,60-69,MA,Cambridge Delta,>20,examiner,former,11-20,English,L1,Arabic,wide,wide
R12,6.0,5.0,6.3,4.7,5.8,6.7,6.3,6.7,5.7,6.1,6.7,8.3,8.3,8.3,7.8,955,B1_C1_B2,Text10,Text32,Text28,"The candidate used some higher-level lexis somewhat effectively, but since it was not that fluent of usage, she could not be awarded very high marks. Nonetheless, lexis was the candidate's strongest area.","Strong use of verb phrases and knowledge of collocations. Some ability to use less common phrases, albeit with some inaccuracy.",Fluent and accurate use of higher-level lexis helped the candidate achieve a high mark on lexis. ,Male,40-49,MA,MA TESOL,11-20,examiner,former,3-5,English,L1,Arabic,narrow,narrow
R13,4.3,4.0,5.3,5.3,5.0,7.3,7.3,6.7,6.0,6.0,7.3,7.3,7.7,6.3,6.5,1131,B1_C1_B2,Text8,Text19,Text26,"I noticed regurgitated phrases that were sometimes used correctly, but often not exact.  Because they are phrases, they are evidence of correct collocation, which would probably enhance a score given by a machine, at least at the level such programs work now.","I noticed that the vocabulary used was adequate to the task, and at times was particularly appropriate.  However, there was a lack of collocation and overall not much variety.","I noticed good collocation across whole sentences.  In every case, the phrase or group of words represented one idea that was coherent with the argument being put forth.",Female,60-69,MA,MA TESOL,>20,examiner,former,3-5,English,L1,various,narrow,narrow
R14,5.3,5.7,6.0,5.3,5.5,7.3,7.3,7.3,7.3,7.0,8.3,8.0,8.7,8.3,8.1,2411,C1_B1_B2,Text10,Text12,Text23,"'- Uses an adequate range of vocabulary for the task: must be grown up, working to have money, start work
• attempts to use less common vocabulary but with some inaccuracy: fantasize,  resilient, tabloids, juveniles
• makes some errors in spelling and/or word formation, but they do not impede communication: procuring things, our country parents","'- uses a sufficient range of vocabulary to allow some flexibility and precision; put food on the table, been spoiled, express love
- uses less common lexical items with some awareness of style and collocation: equipped to face adulthood, the art of making money, the value of hard work
- may produce occasional errors in word choice, spelling and/or word formation: raised (taught) in certain ethical values, time to discovered (discover), the impact to (on) a child","'- Uses a wide range of vocabulary fluently and flexibly to convey precise meanings - Collocations: humble parents, prematurely exposed, taught fundamental skills, occasionally supplement, a concrete example / Other Multi-word units: the realities of life, from an early age
- skilfully uses uncommon lexical items but there may be occasional inaccuracies in word choice and collocation: in the weekends, collect some pocket money, make a straight contribution
• produces rare errors in spelling and/or word formation: eg. e.g.",Male,50-59,PhD,Cambridge Delta,>20,examiner trainer,current,11-20,English,L1,Arabic,wide,wide
R15,5.0,5.3,5.3,5.0,5.0,7.3,6.3,6.3,6.7,6.3,7.7,7.7,7.7,7.3,7.4,26892,B2_B1_C1,Text5,Text14,Text22,"There is a limited range of vocabulary.  In paragraph 1, there are instances of lexical usage that are minimally adequate for the task ('I disagree', which should be 'I disagree with' / I show).  One key is that some parts are markedly different than others due to the writer's recycling of words from the prompt.  Outside of the reuse of vocabulary from the prompt, the writer's lexical resource is simple and repetitive without range or depth ('money' is used seven times) and, in other places, word choice is strange.  

","Words like 'endorsed' are used with some awareness of style but out of context.  'Oppose' has a word form issue, but it doesn't impede communication.   The phrases 'in a certain ethical values' and 'spoiled in every time'  demonstrate both adequate vocabulary and a degree of inaccuracy.  The listing in the 'such as' fragment also seems like they are trying to include a range of vocabulary to earn a higher score without explaining why they attributed these words to the situation.

","There are some inaccuracies in collocation.  The writer uses 'early exposure' in the final paragraph, which I would guess refers to the clause with 'exposed' in an earlier paragraph; however, the collocation is left with a clear link, as 'early exposure' could also refer to such situations as photography.  

Many precise meanings are conveyed here.  'Turn to' indicates a proper casual relationship.  The word 'realities' is in single quotes for some reason, yet the word itself is used properly.  The word 'impoverished (though Bill Gates' family in truth had money) is used well within the context of the writing.  The words/phrases 'encounter' and 'direct contribution' (though the latter is slightly out of context here) are used in a fluent and uncommon way.  

Most word formation errors come from issues with possessives (ex: worlds -- > world's & parent's / parents'); both errors change the meaning of the phrase of sentence unless the reader can sense what the writer means.  

",Male,40-49,MA,MA TESOL,>20,examiner,former,11-20,English,L1,various,wide,wide
R16,4.3,5.0,5.3,4.3,4.5,6.3,5.3,6.3,5.3,5.5,8.0,8.0,8.3,8.3,7.8,2920,B2_C1_B1,Text9,Text17,Text27,"did not reach level 6 (adequate range of vocabulary for the task, attempts to use less common vocabulary but with some
inaccuracy, makes some errors in spelling and/or word formation, but they do not impede communication) because meaning was unclear in several places. More than ""some"" inaccuracy although they took risks (fantasize, procuring)","attempts to use less common vocabulary but with some inaccuracy: commend the idea, psychological values, path to fulfillment...","uses a wide range of vocabulary fluently and flexibly to convey precise meanings: augment, quintessential, impoverished, victimized
collocation: highly motivated, turn to crime
idioms: peddle merchandise, pocket money",Female,40-49,MA,ESL Specialist Cert,6-10,examiner,former,6-10,English,L1,various,narrow,wide
R17,4.0,5.0,6.0,4.7,4.1,6.3,5.3,6.7,5.7,5.7,7.0,7.3,8.7,7.0,7.5,5134,C1_B2_B1,Text4,Text16,Text21,"The candidate attempts to use some less frequent items and collocations (eg. desired effect, fairly young, pocket money, work independantly), and even some idiomatic language (on the flip side), but the lack of control of sentence structure affects coherence and understanding. I believe his use of lexical items is what enables this text to pass some ideas, although not coherent enough for what the task demands. ","This candidate showed some less frequent items (eg. endure, possess, attain) and some awareness of collocations (eg. hard work, face adulthood, blinded by the power of money, embrace reality) but the level of formality was variable with some inappropriacies  like in ""perceived their parents worked"", ""endure in the condition"". The global effect is a lack of comand of complex language. 
 ","The use of noun phrases (eg. low family income, an impoverished background, family role models), collocations (eg. highly motivated, sheer motivation, prematurely exposed, set hight goals) and sophisticated, less common, vocabulary (eg. accompany, encounter, impoverished, exposure). ",Female,50-59,MA,Cambridge CELTA,>20,examiner,former,>20,Portuguese,L2,Portuguese,narrow,narrow
R18,7.3,6.3,6.3,5.3,6.0,7.3,6.7,6.7,6.7,6.8,7.7,7.7,7.7,7.7,7.9,1235,B2_B1_C1,Text6,Text13,Text29,errors in spelling and word formation do not generally impede communication.,attempts to use less common vocabulary but sometimes inaccurately.,"there is some flexibility and precision.
uses less common lexical items with some awareness of style and collocation",Male,50-59,MA,MA TESOL,>20,examiner,former,3-5,English,L1,Arabic,narrow,wide
R19,5.7,5.3,6.3,5.7,5.4,7.3,6.3,8.3,7.3,7.0,7.3,7.3,8.7,8.3,8.0,1261,B2_B1_C1,Text1,Text17,Text25,"There was some good vocab such as entrance.  There was some good vocabulary throughout the writing but other skills let the candidate down.
I think it would be easy for an examiner to give a higher grade based on vocabulary rather than the rest of the writing.",There was a lot of great vocabulary.  Knack was a word that stood out.  The level of vocab and collocation was very good with some idioms and phrasal verbs.  There were some native speaker terms.,"The vocab is excellent however its difficult to agree with someone who is talking bollox :)
The vocabulary that Bill Gates came from an impoverished background is great English but completely untrue, he went to one of the few ones that had computers at the time.....I digress.  
This answer is a good example of a candidate who had good vocabulary and grammar but was not able to answer the question or organise their answer. A candidate like this could be easily taught to produce a better answer.  ",Male,50-59,MA,Trinity DipTESOL,>20,examiner,former,11-20,English,L1,Arabic,wide,wide
R20,5.3,4.0,5.3,5.0,4.8,6.3,6.7,7.3,6.7,6.5,7.0,7.3,7.7,7.3,7.0,2624,B2_C1_B1,Text10,Text32,Text33,"So ... here we see a variety of words used but not effectively and in some cases not correctly. Sometimes, it appears that words are parachuted in just for effect as they are clearly not used appropriately. This person likely thinks they are really 'good' at English ... but in reality they are not. Perhaps, a fossilized older person writing this piece.",I noticed a good variety of vocabulary used accurately and effectively ... and some use of idiomatic phrases and collocations.,"As with the first script, there was quite a wide use of vocabulary effectively employed to convey precise meaning. Here the vocabulary was of a slightly higher standard than in the first script.",Male,50-59,MA,SIT TESOL Cert,>20,examiner,former,11-20,English,L1,Arabic,narrow,narrow
R21,5.0,4.0,4.7,4.3,4.3,6.0,6.0,7.7,6.7,6.5,8.7,8.7,9.3,9.0,9.0,1860,B2_C1_B1,Text3,Text18,Text24,"The basic nature of the vocabulary choice. 
The lack of control over the vocab, which causes confusion, e.g.  my age is late to work by childrens ages.
The lack of coherence in the text as a whole (through grammatical, discoursal, punctuation) probably impacted and amplified the feeling that there was a lack of control over the vocab.","There were some good collocations/chunks of language, e.g. dazzled by the allure of; the path to fulfilment is..., unimaginable wealth

My first thought was that you had put them into this student text as part of your research project as they seem at a level above the rest of the candidate's English, including the choice and control of other lexical items, e.g. As oppose to that","Here, unlike the first text, almost every chunk was appropriate, natural and had appropriate colligations e.g.  prematurely exposed to; problems of adult life; low family income, sacrificing luxuries for; essential items.

",Male,40-49,MA,Cambridge Delta,>20,examiner,former,3-5,English,L1,various,wide,wide
R22,4.0,4.0,6.0,4.0,4.7,4.7,4.3,6.3,5.0,4.8,5.7,5.3,7.0,6.0,6.0,2182,C1_B2_B1,Text4,Text13,Text28,"Adequate range for the task but there was a lot of repetition. 
However, they did not misspell the items to the extent that it causes strain. 
I can't say the range is minimal for the task, but it doesn't go beyond that of adequate, which constitutes a 6 band. ","There weren't huge issues with the word formations and it didn't cause strain on the reader. There was some repetition though the use of the lexical items were generally appropriate. 
As there were no major errors, it did not stand to receive a 5. However, the word choice were not 'uncommon' to the extent of meriting flexibility and therefore does not constitute a 7. ","The student's got a good range of lexis and shows flexibility. 
There are uncommon word choices that fit the style. 
It's higher than adequate, which takes them out of the 6 range, though not wide enough/with enough accuracy to move them into 8. They fit the 7 descriptors more. ",unknown,30-39,MA,Cambridge Delta,11-20,examiner trainer,former,3-5,English,L1,Arabic,wide,narrow
R23,4.3,4.3,5.3,5.3,4.5,5.7,6.3,7.3,6.3,6.5,6.7,9.3,9.3,8.3,7.6,1552,B2_C1_B1,Text9,Text14,Text21,Much of the content is tangential or irrelevant.,"Repetition of rubric limits score to a 7.  ""Will families"" ?",Wider range of vocab to deal with rubric: impoverished/poor.  A one-sided argument though.,Male,50-59,MA,Cambridge Delta,>20,examiner,former,11-20,English,L1,various,wide,wide
R24,5.3,5.3,5.3,4.3,4.7,7.3,7.3,7.3,6.7,7.1,8.7,9.3,9.3,8.3,8.1,2565,C1_B2_B1,Text8,Text11,Text27,"poor use of collocation and noticeable use of memorized phrases, but enough use of language to minimally fit the task at hand- actually would rate -5
to corroborate this claim, not to generalize, comparatively young, safeguard for the future - seem memorized
are prepared - for is missing
a lot of use of  'good' 'thing' - does not use enough less common vocabulary unless it's memorized.","used to have
in the table
family love life
in everytime vs. all the time
time to discovered
the sense  of

most was grammar","in the weekends - systematical
e.g. once correct then eg twice
issues with possession, but that is more grammatical - parents', worlds,  ",Female,30-39,MA,Cambridge CELTA,6-10,examiner,current,3-5,English,L1,various,wide,wide
R25,6.7,6.3,7.3,5.3,6.0,7.7,7.7,7.7,7.3,7.6,9.0,9.0,9.3,9.3,9.1,297,B1_B2_C1,Text7,Text20,Text26,,,,Female,40-49,BA,Cambridge Delta,11-20,examiner,former,6-10,English,L1,Arabic,wide,wide
R26,5.7,5.3,6.3,5.7,5.5,7.7,7.7,8.3,7.3,8.1,9.0,9.0,9.3,8.3,9.1,1138,B1_B2_C1,Text6,Text15,Text22,"I noticed high level vocabulary (on the CEFR scale), such as: pocket money, suspect (for speculation), subsequently, ""in my case"", tribe, journalist.  These are used fairly accurately.  But the writer lacked more specific vocabulary to get a higher band: ""entrance to the bank"" (for job), ""my age is late"".  ","Very specific and high level usage: ""blinded by the power of money"", obstacle, ""the art of money making"", embrace, ""set their mind"", possess... not all accurate, so this is why it's not a band 9.  ","Very high level vocabulary, mostly accurate: prematurely exposed, brought up, sacrificing luxuries for essential items, accompany, tend to, impoverished, etc.  ",Male,40-49,MA,Cambridge CELTA,11-20,examiner,former,3-5,English,L1,Arabic,narrow,wide
R27,5.7,5.7,6.7,5.7,5.6,7.7,7.7,8.0,7.0,7.6,8.7,8.0,9.7,8.7,9.1,4405,B2_C1_B1,Text3,Text19,Text30," - A risk taker. Candidate uses less common lexical items with some awareness of style and collocation e.g. ""desired effect"", ""acquired money"" ""work independently"" ""fairly young""
 - but many errors in  word formation. Lots of errors with collocations ("" by another countries"", "" accept the money by their parents"", etc)   and phrasal verbs. This  impedes communication to some extent as it requires effort from the reader 
e.g. "" they could their money buy something or  entrance to the bank"" 
 - spelling generally good

","""uses a wide range of vocabulary fluently and flexibly to
convey precise meanings “blinded by the power of money”
• skilfully uses uncommon lexical items  in every paragraph e.g. “scrutinized” , “paramount” , ""perseverence""
•  spelling generally very good - produces rare errors in and very good word formation on the whole
Generally candidate weaker with grammar . The lexical range is much stronger (8) even though there were some errors with collocations e..g raised in” instead of “raised with”, but this does not adversely affect understanding. The candidate is a “risk – taker”, so should be given some credit.
","  - uses a wide range of vocabulary and indeed consistently uses more sophisticated   C2 level vocabulary  
; e.g. ""impoverished "", ""inconceivably"", ""ingenuity"" ""perseverance"", ""subsistence"", pre-eminent"", etc
 - varied use of uncommon phrasal verbs, collocations 
e.g. ""robbed of  their childhood ""  "" prematurely exposed to predicaments of"" 
 - sustained accuracy in spelling


",Male,50-59,MA,Not_stated,>20,examiner,former,11-20,English,L1,Arabic,wide,wide
R28,4.7,5.0,5.3,5.3,5.0,7.3,7.0,7.3,7.3,7.1,9.3,8.7,8.7,8.7,8.6,1014,B1_B2_C1,Text2,Text11,Text33,"In terms of design I would have the text at the top of each slide cause it's annoying to keep clicking back to see it. I'm tempted to just go on memory rather than examine the specific words...

pocket money 
perfectly prepared
see situtations
wealthy parents (granted it's in the prompt)","well-trained to
better prepared to deal with 
on the contrary 
(there are more but i'm starting to get fatigued going back and forth)",prematurely exposed,Male,30-39,MA,Cambridge Delta,11-20,examiner,former,1-2,English,L1,various,wide,wide
R29,5.0,4.7,5.3,4.3,4.5,7.3,6.3,7.7,6.0,6.6,7.3,6.3,8.3,7.3,7.0,7431,C1_B2_B1,Text7,Text16,Text23,"General Features:
* uses a limited range of vocabulary which is minimally adequate

Specific Lexical Items:
Positive points: work as a receptionist, saw firsthand, comparatively young, do errands, pocket money, psychologically prepared
Negative points: I show that situation around me, could buying things like positive school, I start freelance from 20 ages, study at money","General Features
* a wide range of vocabulary, used quite fluently, flexibly and accurately
* a good awareness of style and collocation

Specific Lexical Items
Positive points - the value of hard work, put food on the table, blinded by the power of money, (a) sense of respect for sthg
Negative points - raised in a certain ethical values, endure in the condition, Oppose to it..., the impact to a child","General Features 
* a wide range of vocabulary used fluently, flexibly and accurately
* a very good awareness of style and collocation

Specific Examples
* be prematurely exposed to sthg, learn to cope on a low income, act as an incentive, from a very early age, supplement their income, a modest background, be 'robbed' of your childhood, sheer motivation",Female,50-59,BA,Cambridge Delta,>20,examiner,former,1-2,English,L1,Spanish,narrow,wide
R30,5.0,5.0,5.0,5.0,5.0,6.3,5.3,6.7,5.3,5.5,8.3,8.3,8.3,8.3,8.1,1575,B2_C1_B1,Text31,Text12,Text21,"limited range and there seemed to be a tendency to try and bend the topic towards personal experience and thus language they felt more comfortable with (3rd para especially). However, the candidate did manage to use language relevant to the impact of money on children and how they are brought up in this regard by their parents.","some very good collocations & idiomatic language e.g. the source of happiness, blinded by power, grow up and think that money is everything, spoiled, the art of money making, the sense of respect for.
The lexical resource seemed to be the strongest part of this writing.","strong use of collocation, modifiers (better prepared for), less frequent lexis (prematurely exposed to). The candidate shows some ability to generate accurate, albeit somewhat novel phrasing e.g. They are making a straight contribution to their families. In general the lexis is quite strong in this piece",Male,30-39,MA,Cambridge Delta,11-20,examiner,former,1-2,English,L1,Punjabi,narrow,narrow
R31,4.0,4.7,5.0,5.0,4.5,7.3,6.7,7.3,7.3,6.5,9.3,9.0,9.3,8.7,9.6,1643,B2_C1_B1,Text31,Text15,Text30,"Most of the more sophisticated lexis is lifted from the rubric. 
There are some expressions e.g. 'social experience', 'pocket money' that are appropriate (-ish) and not taken from the rubric, but these are outweighed by what the writer doesn't know how to say e.g. 'a work', '20 ages'. 
On the whole the overall idea of what they're saying is clear, but the lexis used is only approximately appropriate. ","Some good use of collocation in places, and some inaccurate. 
Some slips in e.g. dependent prepositions. 
Not all attempts to use less common vocabulary are unsuccessful. 
Flexibility and precision are there despite some inaccuracy. 
","Overall sophisticated use of collocation and phrasing. Clear familiarity with a wide range of topic appropriate lexis. 
Occasional inappropriate choice e.g. 'strife' but that might be hyperbole. ",Female,60-69,MA,Cambridge Delta,>20,examiner,former,6-10,English,L1,various,wide,wide
R32,5.3,4.3,6.3,4.3,5.0,6.3,6.3,7.3,5.3,6.0,5.3,7.3,8.3,8.3,7.1,6147,B2_C1_B1,Text2,Text18,Text29,"Some very good LR.
E,g,: brought up, good parents, excellent schools, behaviour, good parents, good effect on you, wealthy parents, pocket money, perfectly prepared. ","Some very good LR but there are some problems with the GRAM. The last paragraph could have been broken into 2, way too big but generally speaking it was OK.","Candidate only wrote about the less privileged ones. He/she did not mentioned the rich kids, however, very well written. If I am not mistaken, the candidate has to be penalised. There's a ceiling. Can't remember very well as the writing part has been taken away from Brazil... :( I haven't corrected the written part for at least a year or 2 maybe. Unfortunately :( Anyway, very good vocabulary used.",Female,50-59,MA,Cambridge Delta,>20,examiner trainer,current,>20,Portuguese,L2,Portuguese,narrow,wide
R33,5.0,5.0,5.0,4.7,4.5,5.3,6.0,7.0,6.3,6.0,7.3,7.7,8.0,7.7,7.6,6672,B2_B1_C1,Text5,Text20,Text25,"The range of vocab is quite limited but is minimally adequate for the task, e.g. behavior, effect, mature, wages, pocket money. Errors with collocation are noticeable, e.g. positive school, social experience, culture about children, entrance to the bank. This can cause difficulty fr the reader. Spelling of generally accurate.  ","Quite a wide range of vocabulary is used, often well, and includes less common items, e.g. discipline, certain ethical values, gratification, flaunts, surmise. Sometimes, however, the choice is inappropriate although the meaning is still clear, e.g. juvenile, scrutinized. Occasionally the meaning isn't clear, e.g. hustle. Spelling and word formation are accurate.  ","A wide range of vocabulary was used accurately, including less common items, e.g. offspring, obstacles, witness (v), numerous, contribute, setbacks, encounter. There was good use of collocation, e.g. low family income, highly motivated, to set high goals, serve as an example, impoverished backgrounds, robbed of their childhood, family role models, sheer motivation, but occasional inappropriate choices, e.g. prematurely exposed, potentially collect, straight contribution.    ",Female,60-69,MA,Cambridge Delta,>20,examiner,former,11-20,English,L1,Arabic,wide,wide
R34,5.3,5.3,5.3,4.7,5.0,6.3,5.7,6.3,5.3,5.6,8.3,8.3,8.7,8.7,8.6,993,B1_C1_B2,Text31,Text20,Text22,"The candidate is able to express him/herself, but not able to use verb tenses and has trouble with punctuation. His/her general meaning is generally clear, but the writing is not advanced enough for a 5.5 or 6 band score.","The candidate has answered the question and expressed him/herself clearly enough. There are issues with grammar in particular that affect the band score and again, the rubric is copied in the topic sentence.",This response is written at nearly native speaker level. I only noticed a couple of awkward phrases and the rubric was copied in the topic sentence.,Male,40-49,PhD,Cambridge CELTA,>20,examiner,former,1-2,English,L1,Arabic,wide,wide
